Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
13-309;113309;;;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Julio Acuña Pinzón;Centro de Salud Familiar;Municipal;Primario;13116;Lo Espejo;Avenida;8260;Central Raúl Silva Henríquez ;800500460;38716;NO;No Aplica;No Aplica;-33,522431;-70,69732;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-809;113809;13-309;113309;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Julio Acuña Pinzón;No Aplica;Municipal;Primario;13116;Lo Espejo;Avenida;8260;Central ;227800559;38716;SI;Urgencia ambulatoria (SAR);No Aplica;-33,522311;-70,697161;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
14-224;114224;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Vida Integra de La Florida;No Aplica;Privado;Secundario;13110;La Florida;Avenida;1396;Walker;222860066;39814;NO;No Aplica;No Aplica;-33,522276;-70,582734;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
06-408;106408;;;5;Región De Valparaíso;6;Servicio de Salud Valparaíso San Antonio;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Lo Abarca;No Aplica;Municipal;Primario;05603;Cartagena;Calle;;Aldea Lo Abarca;;38716;NO;No Aplica;No Aplica;-33,52184;-71,542149;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-227;114227;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Astra La Florida;No Aplica;Privado;No Aplica;13110;La Florida;Avenida;7255;Vicuña Mackenna, Oficinas 202-203;222217198;39814;NO;No Aplica;No Aplica;-33,521292;-70,57891;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
14-714;114714;14-314;114314;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Modelo;No Aplica;Municipal;Primario;13131;San Ramón;Calle;6543;Alvear ;225769980;35066;NO;No Aplica;No Aplica;-33,519923;-70,642716;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-807;113807;13-307;113307;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Padre Esteban Gumucio;No Aplica;Municipal;Primario;13111;La Granja;Avenida;281;Padre Esteban Gumucio;225253063;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,519708;-70,624091;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-307;113307;;;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Padre Esteban Gumucio Vives;Centro de Salud Familiar;Municipal;Primario;13111;La Granja;Avenida;281;Central ;225250363;38716;NO;No Aplica;No Aplica;-33,519604;-70,623975;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-223;114223;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Vespucio;No Aplica;Privado;Terciario;13110;La Florida;Calle;190;Serafín Zamora;224287600;39814;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,519116;-70,596867;Privado;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
14-233;114233;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Vida Integra;No Aplica;Privado;No Aplica;13110;La Florida;Calle;190;Serafín Zamora;222211287;39814;NO;No Aplica;No Aplica;-33,51906;-70,596933;Privado;Vigente en operación habitual;No Aplica;No Aplica;
14-303;114303;;;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Bellavista;Centro de Salud Familiar;Municipal;Primario;13110;La Florida;Calle;6420;Froilan Roa;226115900;38716;NO;No Aplica;No Aplica;-33,518563;-70,602218;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-228;114228;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Asistencial AChS La Florida;No Aplica;Privado;Secundario;13110;La Florida;Avenida;6903;Vicuña;223887200;39814;NO;No Aplica;No Aplica;-33,518243;-70,604586;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-222;114222;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Integramédica La Florida;No Aplica;Privado;Secundario;13110;La Florida;Avenida;6969;Vicuña Mackenna Oriente;224257300;39814;NO;No Aplica;No Aplica;-33,517643;-70,601898;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-409;114409;;;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Las Perdices;No Aplica;Municipal;Primario;13110;La Florida;Calle;6706;El Panul;222855199;38716;NO;No Aplica;No Aplica;-33,517357;-70,544504;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
10-914;200132;10-385;110385;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU María Pinto;No Aplica;Municipal;Primario;13504;Maria Pinto;Calle;78;Francisco Costabal ;226125002;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,517179;-71,124818;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-939;200588;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental La Dehesa;No Aplica;Privado;No Aplica;13115;Lo Barnechea;Avenida;12850;El Rodeo, Local 60;227638962;43537;NO;No Aplica;No Aplica;-33,352438;-70,520811;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
10-385;110385;;;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Adriana Madrid De Costabal;Centro de Salud Familiar;Municipal;Primario;13504;Maria Pinto;Avenida;;Francisco Costabal ;225745000;38716;NO;No Aplica;No Aplica;-33,51714;-71,125008;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-988;200088;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Integramédica Florida Vespucio;No Aplica;Privado;Secundario;13110;La Florida;Avenida;7110;Vicuña Mackenna;6006366666;41635;NO;No Aplica;No Aplica;-33,517052;-70,601107;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-274;111274;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Integramédica Oeste;No Aplica;Privado;Secundario;13102;Cerrillos;Avenida;1501;Américo Vespucio;228217200;39814;NO;No Aplica;No Aplica;-33,516665;-70,717478;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
13-308;113308;;;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Clara Estrella;Centro de Salud Familiar;Municipal;Primario;13116;Lo Espejo;Calle;6868;Putre ;800500459;38716;NO;No Aplica;No Aplica;-33,514933;-70,676174;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-831;114831;14-331;114331;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU La Florida;No Aplica;Municipal;Primario;13110;La Florida;Avenida;6015;La Florida ;222854792;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,514807;-70,585529;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-808;113808;13-308;113308;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Clara Estrella;No Aplica;Municipal;Primario;13116;Lo Espejo;Calle;6868;Putre ;225211977;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,514798;-70,676271;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-331;114331;;;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar La Florida;Centro de Salud Familiar;Municipal;Primario;13110;La Florida;Avenida;6015;La Florida ;222854792;38716;NO;No Aplica;No Aplica;-33,514659;-70,585809;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-220;114220;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Mutual CChC La Florida;No Aplica;Privado;Secundario;13110;La Florida;Avenida;6381;Vicuña;222033737;39814;NO;No Aplica;No Aplica;-33,514542;-70,608163;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-105;114105;;;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza;Autogestionado en Red ( EAR);Servicio de Salud;Terciario;13110;La Florida;Calle;6542;Froilan Roa;225681880;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,514161;-70,599148;Público ;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
11-309;111309;;;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dra. Ana María Juricic;Centro de Salud Familiar;Servicio de Salud;Primario;13119;Maipú;Calle;1841;El Conquistador ;225144154;38716;NO;No Aplica;No Aplica;-33,514065;-70,796603;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-809;111809;11-309;111309;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Dra. Ana María Juricic;No Aplica;Servicio de Salud;Primario;13119;Maipú;Calle;1841;El Conquistador ;225745352;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,513934;-70,79687;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-400;111400;11-308;111308;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Rinconada de Maipú;No Aplica;Servicio de Salud;Primario;13119;Maipú;Calle;2200;Independencia;225742750;41365;NO;No Aplica;No Aplica;-33,505544;-70,774159;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-234;113234;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Vida Integra de San Miguel;No Aplica;Privado;Secundario;13130;San Miguel;Avenida;6251;Gran Avenida José Miguel Carrera;224107400;39814;NO;No Aplica;No Aplica;-33,513077;-70,657973;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-922;200902;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Servicios Médicos C y C;No Aplica;Privado;Secundario;13119;Maipú;Pasaje;0261;Paula Jaraquemada;225501400;38716;NO;No Aplica;No Aplica;-33,512836;-70,754789;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
13-722;113722;13-322;113322;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Salvador Allende;No Aplica;Municipal;Primario;13129;San Joaquín;Calle;472;Juan Aravena ;225769930;38716;NO;No Aplica;No Aplica;-33,512646;-70,636641;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-802;114802;14-302;114302;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Los Castaños;No Aplica;Municipal;Primario;13110;La Florida;Calle;5820;Diagonal Los Castaños ;225760451;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,512075;-70,578137;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-285;111285;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico y Dental MegaSalud Maipú;No Aplica;Privado;No Aplica;13119;Maipú;Calle;1770;Alberto Llona;224257400;39814;NO;No Aplica;No Aplica;-33,511943;-70,7561;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
14-302;114302;;;13;Región Metropolitana de Santiago;14;Servicio de Salud Metropolitano Sur Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Los Castaños;Centro de Salud Familiar;Municipal;Primario;13110;La Florida;Calle;5820;Diagonal Los Castaños ;225760450;38716;NO;No Aplica;No Aplica;-33,511875;-70,577975;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-297;111297;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Bellolio;No Aplica;Privado;No Aplica;13119;Maipú;Calle;1735;Corregidor Zañartu;225501437;39814;NO;No Aplica;No Aplica;-33,51122;-70,75455;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
12-986;112986;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Integramédica Maipú;No Aplica;Privado;Secundario;13119;Maipú;Avenida;1790;Pajaritos;226366666;39814;NO;No Aplica;No Aplica;-33,510992;-70,757709;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-904;200331;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;Centro Odontológico Uno Salud Dental La Florida;No Aplica;Privado;No Aplica;13110;La Florida;Calle;894;Froilán Roa;6007071010;41990;NO;No Aplica;No Aplica;-33,517152;-70,595254;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
13-906;200210;13-322;113322;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Coñimo;No Aplica;Municipal;Primario;13129;San Joaquín;Pasaje;275;Catruman;222210557;40403;NO;No Aplica;No Aplica;-33,51077;-70,623735;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-302;113302;;;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Recreo;Centro de Salud Familiar;Municipal;Primario;13130;San Miguel;Calle;785;Varas Mena ;225761436;38716;NO;No Aplica;No Aplica;-33,510116;-70,64902;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
14-908;200486;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Bupa Santiago;No Aplica;Privado;Terciario;13110;La Florida;Avenida;1455;Departamental;226669999;43245;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,509903;-70,598229;Privado;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
13-642;113642;13-010;113010;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Lo Espejo;No Aplica;Municipal;Secundario;13116;Lo Espejo;Pasaje;2379;confirmar;225170903;38716;NO;No Aplica;No Aplica;-33,509211;-70,677547;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
